#Protein	         CTR	         STS	        METF	    STSMETF
A2AF47  	   -0.022538	    0.749994	    -1.22527	   0.497818
A2AFK4  	   -0.542745	    0.852446	    0.610329	   -0.92003
Q7TMY8  	     -0.3216	    -1.32352	    0.446792	    1.19832
A2AFQ9  	    0.331242	    -1.55976	    0.487276	   0.741238
A2AG22  	      1.0451	   0.0829712	   -0.277835	   -0.85024
A2AGH8  	    0.664633	    0.307581	    -1.32872	   0.356502
A2AGS2  	   -0.282833	      1.1149	    -0.62363	  -0.208436
A2AH22-7	     1.10307	  -0.0306827	   -0.148938	  -0.923445
A2AHX9  	    0.796728	   -0.830614	    0.535065	  -0.501178
A2AI05  	    -1.26237	    0.101586	    0.290459	   0.870326
Q80U87  	    -0.49979	   -0.695226	 -0.00284466	    1.19786
A2AI91  	    -1.07252	   -0.252352	    0.852886	   0.471982
A2AIL4  	    -1.15679	   0.0250775	     0.70769	   0.424025
A2AIM4  	   -0.580437	   -0.618054	     1.27895	  -0.080458
A2AIX1  	   -0.433894	    -1.06736	    0.147789	    1.35346
A2AJ72  	     1.03753	   -0.926615	  -0.0070231	  -0.103894
Q80UU2  	   -0.255721	    -1.08459	    0.650087	   0.690225
A2AJH3  	   -0.158583	    -1.07447	    0.446769	   0.786286
A2AJI0-2	    0.644475	    0.244359	    0.407109	   -1.29594
A2AJL3-2	    -1.18471	    0.723317	    0.780922	  -0.319534
Q3UV70  	    -1.46121	    0.608622	  -0.0236674	   0.876254
A2AKG8  	   -0.207751	   -0.123843	     1.05133	  -0.719733
A2AKI5  	    0.438604	    0.950941	   -0.845756	  -0.543788
Q8C2Q8  	   -0.407411	    -1.04853	   0.0786668	    1.37728
Q8K1E6  	   -0.277439	   -0.733845	    0.636873	    0.37441
A2AKX3  	    0.497501	    0.201328	    -1.37072	   0.671893
R4GML6  	   -0.536781	  -0.0543898	     1.15227	  -0.561099
Q8C0I1  	   -0.966401	   -0.565323	    0.756211	   0.775513
A2AL85  	   -0.300285	   -0.818936	    -0.41219	    1.53141
Q62276-2	   -0.755932	   -0.203078	    0.472869	   0.486141
P09925  	   -0.890244	   -0.398016	   -0.219801	    1.50806
A2ALB2  	    0.149151	   -0.806871	    0.295041	   0.362679
A2AM05-4	   -0.284114	     0.92496	    0.296116	  -0.936962
A2AMH3  	   -0.166277	    0.823435	   -0.224105	  -0.433054
Q80XI3  	   -0.715734	   -0.460388	     0.37697	   0.799152
A2AMJ0  	   -0.476053	    -0.47048	   -0.263844	    1.21038
A2AMM0  	    0.417028	    -1.23967	   -0.116217	   0.938863
A2AMQ5  	   -0.892339	   -0.729995	    0.488175	    1.13416
A2AMY5  	     1.53791	   -0.495769	   -0.319049	  -0.723087
A2AN08-3	    -0.39387	   -0.970138	     0.13664	    1.22737
A2ANY6  	   0.0474123	    -1.56056	    0.770865	   0.742283
A2AP32  	   -0.774624	   0.0226314	    0.872398	  -0.120406
A2APB8  	    0.369072	    -1.01993	     1.07427	  -0.423408
A2API3  	    0.894491	    -1.19207	    0.587608	  -0.290033
F8VPR2  	    -1.30163	    0.167519	    0.616238	   0.517869
Q80TY0-2	   -0.881648	   -0.290223	     0.44004	   0.731831
A2AQA9  	   -0.801607	   -0.387648	   -0.315233	    1.50449
Q9QXG4  	     0.25175	     1.17605	    -1.46976	    0.04196
Q9D975  	   0.0218202	    -1.28249	     1.22958	  0.0310919
A2AQV2  	     1.26603	   -0.229184	   -0.585739	  -0.451103
A2AR02  	   -0.221631	    -1.29265	    0.342387	    1.17189
A2AR26  	    0.303783	    0.433166	    -1.36388	   0.626926
Q9QYR6  	   -0.443909	    -1.30615	    0.763845	   0.986217
A2AS05  	  -0.0959003	     1.27541	   -0.316577	  -0.862933
A2AS54  	   -0.884012	    0.123784	    0.538417	   0.221811
P28660  	   -0.167886	    0.710502	    -1.08323	   0.540614
A2ASK1  	    -1.45362	   0.0307994	    0.649157	   0.773667
E9Q8N1  	   -0.885346	    0.287333	   -0.773578	    1.37159
A2ASZ8-2	    -0.51221	    0.163134	     1.04381	  -0.694736
A2ATI9  	   -0.765135	   -0.435789	   -0.168815	    1.36974
A2ATL0  	   -0.433061	    0.901395	   -0.650757	   0.182423
A2ATP6  	   -0.308581	     -1.1743	    0.485563	   0.997322
A2ATU0  	    -1.21659	    -0.38991	    0.793421	   0.813076
Q64012-2	     1.36371	   -0.102617	   -0.881012	  -0.380082
F6R860  	    -1.00396	     0.45438	   -0.551503	    1.10108
A2AW05  	    0.101262	    -1.30946	     0.31373	   0.894472
A2AWA9  	   -0.851484	   -0.700734	      0.7043	   0.847918
A2AWI9  	    0.882532	    -1.11384	   -0.442758	   0.674064
P59326  	    0.348022	    0.564689	     0.34602	   -1.25873
A2AWP6  	     -1.0451	     0.19537	      1.0201	  -0.170375
A2BDX0  	    0.486651	    0.985593	   -0.481939	  -0.990305
A2BE28-2	  -0.0138247	    -1.23394	   0.0483012	    1.19946
Q9D8X0  	   -0.910705	    0.137065	    0.369639	   0.404001
A2BIE1  	     1.29857	   0.0882627	   -0.779085	  -0.607743
A2CF80  	   -0.131754	   -0.273593	   -0.518829	   0.924176
A2RSJ4  	    0.196778	    -1.05315	     1.02137	  -0.164996
A2RSX9  	    -0.86809	   0.0572808	    0.323939	    0.48687
A2RTH5  	    0.120285	    0.536265	    -0.92182	    0.26527
S4R1M5  	    -1.04589	   -0.252253	    0.144642	     1.1535
Q91YZ8  	     1.04686	    -1.36024	    0.397073	 -0.0836936
A3KG01  	  -0.0641764	      1.1263	    -1.16721	   0.105096
Q6ZQ88  	    0.646944	    0.211222	   0.0258299	  -0.883995
A3KGG8  	    0.880581	     0.75741	   -0.823399	  -0.814592
Q9D898  	    0.297945	    -0.96827	    0.378001	   0.292324
A6H5X4-3	    -1.14883	      1.0781	   -0.507766	   0.578499
A6H5Z3  	   -0.227595	    -1.34505	    0.438879	    1.13377
A6H611  	   -0.524879	    0.576298	   -0.376019	   0.324599
A6H8H2-2	   -0.276556	    -1.15894	    0.366152	    1.06935
A7M7S2  	    0.767592	    0.628498	   -0.479678	  -0.916413
A8C756  	   -0.496849	    -1.16668	    0.635147	    1.02838
A8Y5J3  	   -0.884966	    0.371469	     0.19422	   0.319276
A8Y5N8  	   -0.684404	   -0.544862	    0.031971	    1.19729
B0QZH9  	     0.63673	    0.224099	   -0.185446	  -0.675383
P63044  	   -0.655469	   -0.426738	   -0.335387	    1.41759
B0R058  	   -0.781774	     0.03969	   -0.253991	   0.996075
B0R0S4  	    0.192739	    -1.04343	     1.11712	  -0.266423
B0V2N1-4	  -0.0850126	    0.960071	  -0.0955177	  -0.779541
Q9D7X3  	     1.43495	   -0.280284	    -0.63156	  -0.523105
B1AQJ2  	   0.0920341	    -1.39548	     1.01451	    0.28894
O08573-2	   -0.166013	     1.36778	   -0.341753	   -0.86001
B2RWE3  	    0.834093	    0.145205	    -0.94666	 -0.0326382
B1AR76  	   -0.541877	     1.21743	    -1.01985	   0.344302
B1ARD6  	    0.882246	    0.851646	   -0.343715	   -1.39018
B1ARU4  	    -0.48607	   -0.963411	    0.523767	   0.925714
B1ARW4  	    -1.31942	    0.233804	-0.000262618	    1.08588
Q9D032-2	    0.540277	     0.82067	   -0.662946	  -0.698001
E9QA68  	   -0.447499	   -0.384666	  -0.0799939	   0.912159
P52332  	    0.819099	    0.540985	   0.0302192	    -1.3903
Q9D186  	    0.560204	   -0.706541	   -0.330944	   0.477281
B1ASW5  	    0.497142	    0.823315	   -0.295513	   -1.02494
Q64516-1	    0.885817	   -0.444055	    0.235213	  -0.676976
B1ATD5  	   -0.535887	    0.152492	   -0.714945	    1.09834
P47740  	    -1.28882	   -0.244111	    0.298014	    1.23491
Q8C2P3  	    0.863943	    0.036782	   -0.010046	  -0.890679
B1ATZ0  	   -0.765815	   -0.905613	    0.420157	    1.25127
B1AU25  	   -0.612045	  -0.0719625	   -0.538321	    1.22233
B1AUN2  	    0.649299	     -1.1283	    0.643091	  -0.164093
B1AUY7  	    0.844113	    -1.20706	     0.35901	 0.00394016
B1AV66  	   0.0237139	   -0.678665	    0.379756	   0.275195
Q8C0P5  	    0.840419	    0.821958	   -0.478458	   -1.18392
B1AVH7  	   -0.755614	   -0.257929	     1.33643	  -0.322891
B1AVY7  	   -0.800873	     0.11496	     1.39179	   -0.70588
B1AVZ0  	   -0.635705	    -0.80254	    0.742164	   0.696082
B1AWE0  	   -0.355042	   -0.850566	    0.694779	    0.51083
Q99K51  	    0.870934	    -1.34994	     0.56259	  -0.083581
Q3TFT3  	    -1.40538	    0.583173	    0.132229	   0.689983
B1AXI9  	    -1.17782	   -0.081949	    0.461836	    0.79793
B1AXJ2  	    -1.07074	    0.532828	  0.00618967	   0.531719
B1AXP6-2	    -1.23664	   -0.307019	    0.316372	    1.22729
B1AXS6  	    -1.42586	   0.0772794	    0.472068	    0.87651
B1AYU4  	    0.352407	    -1.01053	    0.718137	 -0.0600116
Q3UMF0-3	   -0.526287	    -1.14144	     1.30585	   0.361874
B1AZ42  	  -0.0831069	   -0.599364	   -0.725519	    1.40799
Q8BKX1-3	     1.37932	   -0.133514	   -0.471016	  -0.774787
B1AZA5  	   -0.576536	   -0.906562	    0.674289	   0.808809
B1AZI6  	   -0.599206	    -1.05169	     1.17153	   0.479366
I1E4X0  	     1.36003	   -0.793112	   -0.763994	   0.197081
B1B0C7  	    0.238929	    0.796021	    -1.41525	   0.380304
Q505B7-2	    0.212214	  -0.0595423	    -1.25739	    1.10472
B2KGR2  	     -1.0204	    0.738132	   -0.787072	    1.06934
B2LVG5  	    0.509719	   -0.444139	    -0.72624	   0.660661
Q9D1L0  	   -0.670542	    -1.20674	    0.909797	   0.967483
B2RQ57  	    0.672404	    -1.07526	  -0.0318562	   0.434716
B7ZMZ7  	   0.0156598	     0.41626	    0.781192	   -1.21311
B2RQC6  	   -0.264702	    -1.44488	    0.682142	    1.02744
B2RQS1  	    0.220423	    -1.29057	    0.357293	   0.712857
B2RR83  	    -1.28152	  -0.0952998	    0.471589	   0.905235
B2RRE7  	    0.346644	    -1.43813	    0.938334	   0.153154
B2RRI2  	    0.889161	    0.770081	   -0.255358	   -1.40388
B2RS91  	   -0.501839	   -0.244973	   -0.533186	       1.28
Q6AW69-5	   -0.738651	   0.0996536	   -0.245416	   0.884414
E9PWI6  	     1.01256	    0.892957	    -1.02774	  -0.877781
S4R203  	   -0.110299	    0.328341	    0.534255	  -0.752297
Q8C5L7  	   -0.490997	    -1.08755	    0.510961	    1.06758
B2RXC1  	   -0.744363	    0.194048	    0.672253	  -0.121939
B2RXC6  	     -1.2536	   -0.389579	    0.592592	    1.05059
B2RXS4  	   -0.151034	    0.365779	     -1.2975	    1.08275
B2RY56  	    0.451731	    -1.08556	   -0.127711	   0.761541
Q6P7T9  	   -0.139997	   -0.681553	     0.91009	 -0.0885403
B7FAU9  	   -0.629047	    -1.17701	    0.897572	   0.908486
Q9CZY3  	    0.876712	   -0.353156	   -0.162704	  -0.360852
B7ZC46  	   -0.128523	    -1.21983	    0.199123	    1.14923
Q8CBW3-2	    0.370416	   -0.832932	   0.0326233	   0.429893
B7ZMP1  	  -0.0847355	   -0.493236	    0.959995	  -0.382024
F7D1P5  	    0.392819	    0.303624	    0.175708	  -0.872151
P51954  	   -0.357067	  -0.0927966	   -0.463285	   0.913148
B8JJC1  	     0.24093	    0.302783	   -0.815421	   0.271708
B9EHJ3  	    0.615843	    0.641542	    -1.37459	     0.1172
B9EI21  	    0.354565	    -1.01186	    0.811152	  -0.153861
P54279  	    0.396197	    -1.20527	     0.98908	  -0.180012
B9EJ54  	    0.579583	    -1.43354	     0.12944	   0.724521
B9EJ80  	   -0.533675	    -0.71593	     0.11695	    1.13266
G3X9N6  	    -0.95092	   -0.384065	    0.212007	    1.12298
B9EJR8  	   -0.183523	   -0.743423	     1.39514	  -0.468197
B9EKI3  	    0.294795	    0.890428	   -0.454926	  -0.730296
Q80TL7-2	    0.486589	    0.536501	   -0.166442	  -0.856649
B9EKS2  	   -0.586352	     1.12207	    -0.34865	  -0.187066
D0QMC3  	    -1.14667	     1.33861	   -0.417767	   0.225823
D2EAC2-2	   -0.510869	   -0.746089	     1.34108	 -0.0841175
D3Z194  	    0.910316	    -1.30987	    0.337978	  0.0615779
D3YU12  	     1.14071	    0.400109	   -0.974317	  -0.566499
D3YU58  	    0.686064	    0.804293	 0.000718303	   -1.49107
D3YUC9  	   -0.726114	    0.757147	   -0.415436	   0.384404
D3YUG5  	    0.449094	    0.485885	    -1.20598	   0.271002
Q9CY62  	     1.42473	   -0.411668	   -0.420412	  -0.592646
Q0P5W1-3	     -1.2845	   0.0861577	    0.274862	   0.923481
Q9WVG6-2	     1.18354	   -0.662753	    0.136873	   -0.65766
D3YUP8  	    0.638327	    0.577729	    0.218338	   -1.43439
D3YUW8  	    -1.27701	   0.0897107	    0.252219	   0.935083
P23249  	   -0.539706	     1.43343	    -1.00698	   0.113257
D3YVM2  	    0.679057	     1.07845	    -1.08424	  -0.673263
D3YVP6  	   -0.776231	     1.39611	   0.0310797	  -0.650962
D3YVW2  	   -0.418807	   -0.969566	    0.628444	   0.759929
Q8VC31  	    0.185617	    -1.42593	    0.520246	   0.720069
D3YWG2  	   -0.697608	    0.323953	    -0.47111	   0.844766
F6T1N2  	    -0.76264	    0.354514	   -0.250592	   0.658719
D3YWR2  	    0.518257	   0.0647781	   -1.09E-05	  -0.583025
D3YWS8  	    0.181823	    0.443668	   -0.554502	 -0.0709894
D3YWX2  	   -0.637469	   -0.273734	    -0.40995	    1.32115
D3YX57  	 -0.00641722	    0.852989	    0.107909	   -0.95448
D3YXA7  	    -1.10226	   -0.529173	    0.677524	   0.953907
D3Z354  	      1.3035	   -0.774929	   0.0647499	  -0.593324
D3YXJ0  	   -0.914922	     1.17463	    0.247971	  -0.507677
D3YXK2  	   0.0453602	    -1.08464	   -0.118378	    1.15765
D3YXN7  	    0.978137	    0.160212	   -0.119197	   -1.01915
D3YXP6  	    0.573811	    0.960985	    -1.39893	   -0.13587
R4GML7  	    0.475311	     0.69998	   -0.142797	   -1.03249
D3YXZ3  	   -0.331649	    -1.30912	    0.567957	    1.07281
D3YY03  	   -0.887062	    0.880886	    0.145055	  -0.138879
D3YY50  	    -1.28086	     1.04506	   -0.104911	   0.340703
O88974  	     1.09695	   -0.856168	    0.277947	  -0.518728
D3YYK8  	    0.963067	    0.770556	   -0.574217	   -1.15941
D3YYN8  	   -0.624443	    0.722024	    0.788593	  -0.886174
D3YYT0  	   -0.327001	     1.13815	   -0.312343	  -0.498805
D3YYU8  	     1.17675	    0.586344	   -0.766973	  -0.996117
D3YZ09  	    0.410222	    -1.59859	     0.65588	   0.532487
D3YZC2  	    0.476807	    0.322516	     0.13554	  -0.934863
D3YZC9  	   -0.981792	   -0.609177	    0.417452	    1.17352
D3YZP9  	  -0.0533648	    0.594036	    -1.13626	   0.595585
D3Z030  	    -1.02521	  -0.0875215	   -0.134115	    1.24684
P41216  	    0.622946	    -1.06216	   -0.346045	   0.785258
D3Z069  	     -1.0729	    0.114705	    0.938896	  0.0192947
D3Z0L8  	    0.549674	   -0.221967	   -0.496862	   0.169155
D3Z0M9  	    0.973675	   -0.564454	    -0.80145	   0.392229
D3Z0V2  	     -0.5494	   0.0406431	   -0.280928	   0.789684
D3Z132  	    0.822275	   -0.431544	   -0.781651	    0.39092
Q6P2L6-4	    0.544689	     0.58861	    -1.04941	 -0.0838874
P70662-2	    0.208819	    0.994472	    0.189231	   -1.39252
D3Z1H8  	    0.461656	    0.658764	    0.036889	   -1.15731
E9Q7L3  	    0.885993	    0.619502	   -0.597052	  -0.908443
F6QL70  	   -0.993063	   -0.259061	     0.45948	   0.792644
D3Z237  	     1.28199	   -0.499673	   -0.136059	  -0.646261
D3Z2J6  	    0.374943	    0.890632	    -1.45195	   0.186379
D3Z2K2  	    -1.31944	    0.423087	   0.0566609	   0.839688
D3Z2R5  	    0.629474	   -0.771119	     1.03013	  -0.888482
D3Z325  	   -0.166454	     1.14342	    0.234176	   -1.21114
D3Z3F8  	    0.235811	    0.312049	    -1.45306	   0.905202
Q921U8  	    0.309554	   -0.447559	   -0.176963	   0.314968
D3Z4I0  	   -0.853226	    0.204368	     1.00849	  -0.359627
D3Z456  	    0.859191	    -1.12108	    0.522554	  -0.260669
D3Z4H6  	     1.04466	    0.184864	   -0.357025	  -0.872501
Q61333  	   -0.457279	    -1.07933	     1.08981	   0.446801
D3Z4S3  	    -0.33552	    0.886364	    -1.13806	   0.587214
D3Z4V2  	    0.509789	    -1.50944	    0.396749	   0.602897
Q8VHX6  	   -0.234544	    -1.37912	     0.70833	   0.905334
D3Z585  	   -0.376139	     1.42447	   -0.798152	  -0.250177
D3Z5I1  	     1.06854	    -1.07116	   -0.477517	   0.480137
D3Z5K6  	   -0.196014	    0.732135	    0.553398	   -1.08952
Q9Z1T6-1	     1.02846	     0.62917	     -1.1513	  -0.506334
O09012-2	     1.19516	    0.233098	   -0.424729	   -1.00353
P97351  	    0.592817	    -1.56649	    0.490156	    0.48352
D3Z6C9  	    0.591604	   -0.777399	    0.237253	 -0.0514574
Q6TYB5  	     1.15242	    0.580334	   -0.994583	  -0.738173
D3Z6H3  	     1.16619	   -0.655703	   -0.605604	  0.0951213
D3Z6I3  	    0.856866	   -0.651191	   -0.428026	   0.222352
H3BJR8  	     1.48569	    0.080131	   -0.735747	  -0.830072
D3Z769  	    -0.77206	   -0.344932	    0.786531	   0.330461
Q8BWY9  	    0.592242	   -0.807008	     0.84901	  -0.634243
D3Z7C0  	   -0.920296	   -0.530888	    0.384423	    1.06676
D3Z7E5  	    0.905333	   0.0471854	   -0.892601	  -0.059917
D3Z7I0  	    0.893995	   0.0868178	    0.346741	   -1.32755
D3Z7P3  	    0.378911	    -1.62613	    0.402021	   0.845196
D3Z7P3-2	   -0.422133	    -1.10246	    0.992176	   0.532421
D6RE20  	   -0.357765	   -0.943389	    0.405318	   0.895836
D6RE34  	   -0.788423	     1.06709	   -0.268948	-0.00972166
D6RFN6  	    0.280157	    0.342766	    0.455798	   -1.07872
F6WM75  	    0.612032	    0.648975	   -0.680255	  -0.580752
D6RGB7  	    0.441355	     0.57245	   0.0985029	   -1.11231
D6RH99  	    0.640619	    0.332672	    -1.08527	   0.111978
Q9CR20  	   -0.674124	    0.186739	   -0.594483	    1.08187
D6RJ50  	   -0.371622	    0.423049	    0.795857	  -0.847285
E0CX20  	     1.52899	   -0.126721	    -0.42984	  -0.972431
E0CX67  	    0.742009	    -1.09522	    0.198198	   0.155012
E0CXF0  	     1.08233	  -0.0583702	    0.183965	   -1.20793
E0CY07  	     1.16106	   -0.146632	   -0.206052	  -0.808379
Q9CQ36  	   -0.366583	    -0.78222	  -0.0310623	    1.17986
E0CYE2  	   0.0704511	    -1.35758	    0.429133	   0.857998
Q9ER69  	   -0.041823	   -0.554275	    0.721778	  -0.125681
E0CYH4  	   -0.259223	   -0.343975	     1.23677	  -0.633572
Q6P6L0-3	     1.17863	      0.4344	     -0.6982	  -0.914826
E0CYI3  	   -0.853899	   0.0999958	   -0.502424	    1.25633
P23506  	    -1.04468	    0.569856	   -0.393718	   0.868544
E0CYW1  	    0.266402	    0.591069	   -0.938246	  0.0807751
F6U6D4  	   -0.739819	   -0.767069	    0.393163	    1.11372
E0CYX9  	   -0.818547	   -0.622396	    0.284658	    1.15629
G3XA21  	    -1.26941	-0.000547457	    0.564232	   0.705722
P48453-2	     1.05928	    0.679994	   -0.758065	   -0.98121
E0CZE0  	   -0.714966	   -0.647209	  -0.0624515	    1.42463
Q6P4S6  	    0.222891	    0.471823	    0.463197	   -1.15791
Q571H0  	   -0.700708	   -0.760041	    0.666009	    0.79474
E9PUA3  	    0.121654	    0.384213	    0.735714	   -1.24158
E9PUA5  	   -0.562585	    -1.01025	    0.781167	   0.791667
E9PUB0  	  -0.0971251	     1.19595	    -1.20644	   0.107617
Q2YDW2  	    0.390657	   -0.158557	    0.429998	  -0.662097
E9PUE7  	    -0.72713	    0.637338	    0.796452	   -0.70666
Q61210  	  -0.0402122	   -0.623621	   -0.515501	    1.17933
E9PUW6  	   -0.983142	   -0.619391	    0.810708	   0.791825
E9PUH7  	   -0.794768	   0.0787376	    0.124554	   0.591476
E9PUM4  	   -0.113255	     1.29284	    -1.09228	 -0.0873094
Q9CQ33  	     1.12926	   -0.521569	   -0.258677	  -0.349012
Q921M4-2	    0.549233	    0.858365	   -0.594472	  -0.813126
Q3UYU2  	    0.814244	   0.0788787	    0.400292	   -1.29341
E9Q1M6  	   -0.645617	   -0.784574	   -0.020743	    1.45093
Q9D5V5  	   -0.322521	    -1.08267	     0.75608	   0.649108
F8WGT1  	    -0.24251	    -1.14962	    0.460772	    0.93136
E9PV28  	   -0.339655	   -0.753689	    0.102968	   0.990376
E9PV41  	   0.0921253	    -1.16613	     0.97167	   0.102336
E9PVA8  	   -0.910444	   -0.449139	    0.235346	    1.12424
F6PYJ6  	    0.279631	     0.87862	   -0.498781	  -0.659471
P97820  	     0.87115	    0.860508	    -1.06281	  -0.668844
E9PVN6  	    0.856709	   -0.753404	    0.274311	  -0.377616
E9PVP1  	    0.606747	    0.951512	   -0.907386	  -0.650874
E9Q175  	    -1.44951	    0.377261	    0.382923	   0.689322
E9PVX6  	     1.03354	    0.772411	   -0.666699	   -1.13926
E9QAH1  	    -1.00433	    0.251107	   -0.380753	    1.13397
E9Q4G7  	     1.53977	   -0.159477	   -0.510694	    -0.8696
E9PWE8  	     1.26003	    -1.21839	   -0.461737	   0.420092
E9PWG6  	     1.22057	    0.150354	   -0.900589	  -0.470331
E9PWG9  	    0.261931	    0.854571	   -0.315704	  -0.800797
Q923K4  	    -1.05819	   -0.491483	    0.638694	   0.910975
E9PWW9  	   -0.963245	   -0.531434	    0.583056	   0.911623
E9PWX8  	  -0.0470048	    -1.39612	    0.585107	   0.858017
E9PWY9  	   -0.601915	    -1.21222	    0.879922	   0.934215
Q8BPM2  	     1.16944	   -0.502411	   -0.144244	  -0.522784
Q69Z37  	   -0.899056	    0.701783	    0.261926	 -0.0646533
E9PX61  	   -0.115405	    0.406852	    0.869883	   -1.16133
E9PX66  	   -0.370372	    0.438259	    0.259474	  -0.327361
E9PX70  	    0.686487	     1.09695	   -0.764029	   -1.01941
E9PXB7  	     1.09824	   -0.955357	   0.0362873	  -0.179166
E9PXG9  	   -0.917314	    0.109621	   -0.267364	    1.07506
E9PY46  	  -0.0173647	    0.963499	   -0.873076	 -0.0730584
H3BK44  	     -1.5231	    0.444669	    0.592035	   0.486397
E9PYB0  	    -0.64883	    -1.16959	    0.684306	    1.13411
E9PYF4  	     0.92085	    0.724805	    -1.21037	  -0.435287
E9PYG6  	   -0.204184	    -1.12635	    0.740663	   0.589873
E9PYH6  	    0.874623	    0.198555	    -1.01821	 -0.0549661
E9PYK3  	      0.1174	    0.213398	     -1.0616	   0.730799
E9PYL2  	    0.526921	    0.884889	   -0.726729	  -0.685081
Q9CXW4  	    0.068421	    -1.24717	   -0.128381	    1.30713
E9PYM7  	     -1.4542	    0.431683	    0.322302	   0.700213
E9PYN2  	   -0.374853	    -1.16413	    0.520766	    1.01821
E9Q9N6  	    0.781038	  -0.0572562	   -0.716774	-0.00700777
E9PZ00  	    -0.41104	    -1.05689	    0.186464	    1.28146
E9PZB3  	     -1.2604	  -0.0873504	    0.601222	   0.746524
G3X9T8  	   -0.351764	     1.29147	   -0.532878	  -0.406824
E9PZF0  	    -0.92092	   -0.862386	     1.12224	   0.661066
Q61179  	  -0.0729512	     1.32486	    -0.66132	  -0.590586
E9PZJ8  	    -1.29051	    0.732488	   0.0426385	    0.51538
E9PZM4  	   -0.131545	   -0.877449	     0.99018	  0.0188135
E9PZP8  	    0.378854	   -0.100092	     1.03876	   -1.31752
Q8C163  	    0.809819	    0.630129	    -1.08389	  -0.356059
Q61387  	  0.00153639	   -0.506799	   -0.292072	   0.797335
E9PZT5  	    0.982451	    0.752808	    -1.20786	    -0.5274
E9Q035  	   -0.371505	    -1.02128	    0.601677	    0.79111
E9Q066  	     1.47869	   -0.998636	 -0.00210804	  -0.477945
E9Q070  	   -0.636914	   -0.807572	    0.677983	   0.766503
E9Q0A3  	    0.270098	    0.527754	    0.451174	   -1.24903
E9Q0A7  	    -1.45155	     0.56141	   0.0606647	   0.829479
E9Q0S6  	  -0.0581234	     1.05187	   -0.975687	 -0.0180644
E9Q0T8  	   -0.695871	   -0.353166	   -0.477668	     1.5267
E9Q0X4  	    0.219004	     1.36369	   -0.717591	  -0.865103
E9Q137  	    -1.07121	     -0.2918	    0.271016	      1.092
Q9EP82  	     1.01307	    -1.49677	   0.0363736	   0.447332
E9Q179  	    0.528623	    -1.50793	     0.85667	   0.122638
E9Q186  	    0.186574	    -1.18407	    0.791691	   0.205809
E9Q1L5  	    0.264289	     0.96387	   -0.623182	  -0.604977
